procuringEntity.id,ocid,nf016
EC-RUC-1768001350001-54082,ocds-5wno2w-SIE-15BAE-2020-009-54082,1
EC-RUC-1768007040001-2504,ocds-5wno2w-RE-CEE-017-2019.-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-CE-20220002205347-8380,1
EC-RUC-1768007040001-2504,ocds-5wno2w-RE-CEE-015-2019.-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-LICS-CEE-002-2019-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-CDC-UTA-003-2021-3205,1
EC-RUC-1768006150001-73241,ocds-5wno2w-SIE-DPNG-013-2021-2639,1
EC-RUC-1768007040001-2504,ocds-5wno2w-LICS-CEE-002-2020-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-012-2020-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-MC-DD17D10-001-2022-68925,1
EC-RUC-1768007040001-2504,ocds-5wno2w-MCO-CEE-029-2019-2504,1
EC-RUC-1768001780001-69973,ocds-5wno2w-MCO-CL74-002-2019-69973,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-003-2019-2504,1
EC-RUC-1768001780001-69973,ocds-5wno2w-CE-20220002211292-96181,1
EC-RUC-1768007040001-2504,ocds-5wno2w-MCO-MDMQ-AZLC-016-21-41357,1
EC-RUC-1768007040001-2504,ocds-5wno2w-CEE-LOG-RE-2020-022-2504,1
EC-RUC-1768007040001-2504,ocds-5wno2w-SIE-CEE-016-2019-2504,1
EC-RUC-1768001780001-69973,ocds-5wno2w-CE-20210002125012-10232,1
EC-RUC-1768001780001-69973,ocds-5wno2w-CE-20210002066205-20811,1
EC-RUC-0160000190001-30745,ocds-5wno2w-CE-20210002124204-479937,1
EC-RUC-1760005890001-11814,ocds-5wno2w-SIE-CCE-APT-031-2019-11814,1
EC-RUC-176001321000118-585273,ocds-5wno2w-SIE-SRI-DZ8-2019-03-585273,1
EC-RUC-1760003920001-2485,ocds-5wno2w-COTO-GADMUR-2019-013-2485,1
EC-RUC-1760003920001-2485,ocds-5wno2w-COTO-GADMUR-2019-016-2485,1
EC-RUC-1760003920001-2485,ocds-5wno2w-LICB–GADMUR-2020-002-2485,1
EC-RUC-1760003920001-2485,ocds-5wno2w-PRE-UNACH-025-2021-124774,1
EC-RUC-1760003920001-2485,ocds-5wno2w-SIE-GADMUR-2019-034-2485,1
EC-RUC-1760003920001-2485,ocds-5wno2w-SIE-HTMC-019-2022-2810,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CDC-GADMCS-005-2021-2538,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CE-20210002009828-42201,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CE-20210002048641-35945,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CE-20220002229749-94828,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CE-20220002282248-364960,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CTO-GADMSD-0001-2019-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CTO-GADMSD-0006-2019-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CTO-GADMSD-0007-2019-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CTO-GADMSD-0008-2020-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-CTSNN-GADMSD-01-2019-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-LICO-GADMSD-001-2019-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-LICO-GADMSD-001-2020-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-MC-IMSE-014-2021-4081,1
EC-RUC-1760004060001-19455,ocds-5wno2w-RE-GADMSD-0057-2019-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-SIE-EMAPAOEP-19-2022-740837,1
EC-RUC-1760004060001-19455,ocds-5wno2w-SIE-GADMSD-0007-2020-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-SIE-GADMSD-0014-2020-19455,1
EC-RUC-1760004060001-19455,ocds-5wno2w-SIE-HGNGC-006-2021-818925,1
EC-RUC-1760003920001-2485,ocds-5wno2w-COTO-GADMUR-2019-015-2485,1
EC-RUC-1760003920001-2485,ocds-5wno2w-CDC-GADMUR-2019-002-2485,1
EC-RUC-1760013210001-2438,ocds-5wno2w-SIE-SRINAC-018-2019-2438,1
EC-RUC-1760003840001-3012,ocds-5wno2w-SIE-GADMPM-08-2019-3012,1
EC-RUC-1760003680001-2472,ocds-5wno2w-CDC-EPEMAPAA-017-21-545597,1
EC-RUC-1760003680001-2472,ocds-5wno2w-CE-20220002207460-179772,1
EC-RUC-1760003680001-2472,ocds-5wno2w-CE-20220002236759-2763,1
EC-RUC-1760003680001-2472,ocds-5wno2w-CE-20220002243273-537767,1
EC-RUC-1760003680001-2472,ocds-5wno2w-MCO-GADMCV-008-2021-82943,1
EC-RUC-1760003680001-2472,ocds-5wno2w-MCO-GADPR-B-003-2022-153538,1
EC-RUC-1760003680001-2472,ocds-5wno2w-PRE-GADIPMC-09-2020-2472,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-BCE-027-2021-2457,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-CCQAHDC-040-2022-2804,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-DS06D02-011-2021-575768,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-GADIPMC-22-2019-2472,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-GADIPMC-42-2019-2472,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-GADIPMC-47-2019-2472,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-GADIPMC-50-2022-2472,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-GADMSJY-025-2021-128490,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-GADR-2021-010-21092,1
EC-RUC-1760003680001-2472,ocds-5wno2w-SIE-RE-HPGDR-30-2022-14393,1
EC-RUC-1760003760001-2742,ocds-5wno2w-CDC-002-GADPREA-2021-113196,1
EC-RUC-1760003760001-2742,ocds-5wno2w-CE-20220002281375-534542,1
EC-RUC-1760003840001-3012,ocds-5wno2w-CE-20210002013922-163126,1
EC-RUC-1760003840001-3012,ocds-5wno2w-COT-GADMPM-01-2019-3012,1
EC-RUC-1760003840001-3012,ocds-5wno2w-COTO-GADMPM-001-2020-3012,1
EC-RUC-1760003840001-3012,ocds-5wno2w-PRE-ESPOCH-UCP-29-21-53390,1
EC-RUC-1760004060001-19455,ocds-5wno2w-SIE-RE-02D01-02-2022-18829,1
EC-RUC-1760004650001-39594,ocds-5wno2w-CCD-EMAPASOSQ01-2021-820920,1
EC-RUC-1760004650001-39594,ocds-5wno2w-CE-20210002007287-562623,1
EC-RUC-1760004650001-39594,ocds-5wno2w-CE-20220002275736-71774,1
EC-RUC-1760005620001-45554,ocds-5wno2w-LICS-EPN-063-2019-45554,1
EC-RUC-1760005620001-45554,ocds-5wno2w-SIE-EPN-174-2019-45554,1
EC-RUC-1760005620001-45554,ocds-5wno2w-SIE-HPEP-09-2021-318319,1
EC-RUC-1760006000001-3310,ocds-5wno2w-SIE-INPC-003-2019-3310,1
EC-RUC-1760008800001-66552,ocds-5wno2w-CE-20210002039103-48254,1
EC-RUC-1760008800001-66552,ocds-5wno2w-MCO-GPC-SACS-03-2021-119339,1
EC-RUC-1760009020001-2231,ocds-5wno2w-CE-20220002267787-311941,1
EC-RUC-1760009020001-2231,ocds-5wno2w-CE-20220002275539-532798,1
EC-RUC-1760009530001-27797,ocds-5wno2w-CE-20210002042552-486287,1
EC-RUC-1760009530001-27797,ocds-5wno2w-CE-20210002054665-44856,1
EC-RUC-1760009530001-27797,ocds-5wno2w-COTO-01-GADMCPVM-19-27797,1
EC-RUC-1760009530001-27797,ocds-5wno2w-COTO-GADMCPVM-01-20-27797,1
EC-RUC-1760009530001-27797,ocds-5wno2w-REB-HEFFAA-098-2021-43246,1
EC-RUC-1760009530001-27797,ocds-5wno2w-SIE-05-GADMCPVM-19-27797,1
EC-RUC-1760009530001-27797,ocds-5wno2w-SIE-CACMQ-012-2021-41357,1
EC-RUC-1760009530001-27797,ocds-5wno2w-SIE-EDU17D10-05-2021-533458,1
EC-RUC-1760010700001-2466,ocds-5wno2w-CE-20220002282122-1063959,1
EC-RUC-1760010970001-46469,ocds-5wno2w-SIE-FGE-019-2020-46469,1
EC-RUC-1760013210001-2438,ocds-5wno2w-CE-20220002217681-34474,1
EC-RUC-1760013210001-2438,ocds-5wno2w-CE-20220002284372-60164,1
EC-RUC-1760013210001-2438,ocds-5wno2w-REUM-SRINAC-02-2019-2438,1
EC-RUC-1760013210001-2438,ocds-5wno2w-SIE-SRI-DZ8-09-2020-2438,1
EC-RUC-1760013210001-2438,ocds-5wno2w-SIE-SRINAC-007-2019-2438,1
EC-RUC-1760005620001-45554,ocds-5wno2w-CE-20220002257226-362824,1
EC-RUC-1760005540001-32713,ocds-5wno2w-SIE-UCE-016-2019-32713,1
EC-RUC-1760005540001-32713,ocds-5wno2w-SIE-UCE-011-2019-32713,1
EC-RUC-176000465000162-455608,ocds-5wno2w-MCO-DPC-001-2019-455608,1
EC-RUC-1760004650001-39594,ocds-5wno2w-CE-20220002286259-423779,1
